,User Story,WHO,Relationship,Entity,WHAT,WHY
40,"As an agency user, I want to view the accuracy of the SAM - data.",agency user ,view,accuracy ,view the accuracy of the SAM - data,
41,"As a Developer , I want to properly index domain models, so that validation results could be obtained in a reasonable amount of time.",developer ,,to properly index domain models ,properly index domain models,validation results could be obtained in a reasonable amount of time.
42,"As an agency user, I want to derive data elements, so that I can ensure they are accurate.",agency user ,derive,data elements ,derive data elements,ensure they are accurate.
43,"As a broker team member, I want to add the 00***** and 00FORGN PPoPCode cases to the derivation logic.",broker team member ,add,00FORGN PPoPCode cases ,add the 00***** and 00FORGN PPoPCode cases to the derivation logic,
44,"As a data user, I want to see the office names derived from office codes, so that I can have appropriate context for understanding them.",data user ,see,office names ,see the office names derived from office codes,have appropriate context for understanding them.
45,"As a broker user, I want to derive fields using the historical FABS loader, so that my agency codes are correct in the PublishedAwardFinancialAssistance table.",broker user ,derive,fields ,derive fields using the historical FABS loader,my agency codes are correct in the PublishedAwardFinancialAssistance table.
46,"As a broker team member, I want to ensure the Broker resources are updated appropriately for the launch of FABS and DAIMS v1.1.",broker team member ,ensure,Broker resources ,ensure the Broker resources are updated appropriately for the launch of FABS and DAIMS v1.1,
47,"As a broker team member, I want to ensure validations are updated appropriately for the launch of FABS and DAIMS v1.1.",broker team member ,ensure,validations ,ensure validations are updated appropriately for the launch of FABS and DAIMS v1.1,
48,"As a broker team member, I want to ensure P&P pages are updated appropriately for the launch of FABS and DAIMS v1.1.",broker team member ,ensure,P&P pages ,ensure P&P pages are updated appropriately for the launch of FABS and DAIMS v1.1,
49,"As a Developer, I want to include FREC derivations in data loaded from historical FABS, so that I can have consistent FREC data for USASpending.gov.",developer ,include,FREC derivations ,include FREC derivations in data loaded from historical FABS,have consistent FREC data for USASpending.gov.
50,"As a user, I want to view all grants displayed as contracts except NASA grants.",user ,view,grants ,view all grants displayed as contracts except NASA grants,
51,"As a user, I want ensure records whose ActionTypes are B, C, or D and the DUNS is registered in SAM, so that they are accepted by DUNS validations.",user ,ensure,records ,"ensure records whose ActionTypes are B, C, or D and the DUNS is registered in SAM",they are accepted by DUNS validations.
52,"As a user, I want to ensure records whose ActionDates are before the current registration date in SAM, but after the initial registration date, so that they are accepted by DUNS validations.",user ,ensure,records ,"ensure records whose ActionDates are before the current registration date in SAM, but after the initial registration date",they are accepted by DUNS validations.
53,"As a broker team member, I want to derive FundingAgencyCode, so that the data quality and completeness improves.",broker team member ,derive,FundingAgencyCode ,derive FundingAgencyCode,the data quality and completeness improves.
54,"As an agency user, I want to ensure that the maximum length allowed for LegalEntityAddressLine3 matches with the Schema v1.1.",agency user ,ensure,LegalEntityAddressLine3 matches ,ensure that the maximum length allowed for LegalEntityAddressLine3 matches with the Schema v1.1,
55,"As an agency user, I want to use the schema v1.1 headers in my FABS file.",agency user ,use,schema ,use the schema v1.1 headers in my FABS file,
56,"As a agency user, I want to map the FederalActionObligation properly to the Atom Feed.",agency user ,map,FederalActionObligation ,map the FederalActionObligation properly to the Atom Feed,
57,"As a Broker user, I want similar functionality for PPoPZIP+4 and Legal Entity ZIP validations.",Broker user ,,similar functionality ,similar functionality for PPoPZIP+4 and Legal Entity ZIP validations,
58,"As a FABS user, I want to link the SAMPLE FILE on the ""What you want  to submit"" dialog to point to the correct file, so that I have an accurate reference for my agency submissions.",FABS user ,link,SAMPLE FILE ,"link the SAMPLE FILE on the ""What you want  to submit"" dialog to point to the correct file",have an accurate reference for my agency submissions.
59,"As an Agency user, I want updated FPDS data daily.",Agency user ,update,updated FPDS data ,updated FPDS data daily,
60,"As a user, I want to access the raw agency's published files from FABS via USAspending.",user ,access,raw agency 's published files ,access the raw agency's published files from FABS via USAspending,
61,"As a Developer , I want to determine how agencies will generate and validate D Files from FABS and FPDS data.",developer ,determine,agencies ,determine how agencies will generate and validate D Files from FABS and FPDS data,
62,"As a user, I want to generate D Files from FABS and FPDS data.",user ,generate,D Files ,generate D Files from FABS and FPDS data,
63,"As a user, I want to validate the generated D Files from FABS and FPDS data.",user ,validate,generated D Files ,validate the generated D Files from FABS and FPDS data,
64,"As an Agency user, I want displayed updated date-time in the header information box, so that I know when it was updated.",Agency user ,display,updated date - time ,displayed updated date-time in the header information box,know when it was updated.
65,"As an Agency user, I want to receive detailed file-level error when I upload a file with the wrong extension.",Agency user ,receive,detailed file - level error ,receive detailed file-level error when I upload a file with the wrong extension,
66,"As a tester, I want to access test features in environments other than Staging, so that I can test any nonProd feature in any environment.",tester ,access,test features ,access test features in environments other than Staging,test any nonProd feature in any environment.
67,"As a FABS user, I want accurate reflection of frontend URLs in the page I'm accessing, so that I am not confused.",FABS user ,access,accurate reflection ,accurate reflection of frontend URLs in the page I'm accessing,am not confused.
68,"As an Agency user, I want to load all historical Financial Assistance data for FABS before go-live.",Agency user ,load,historical Financial Assistance data ,load all historical Financial Assistance data for FABS before go-live,
69,"As a Developer , I want to include both extracted historical data and FPDS feed data using the historical FPDS data loader.",developer ,include,historical data ,include both extracted historical data and FPDS feed data using the historical FPDS data loader,
