who_id,WHO,Relationship,Entity,WHAT,WHY
2,broker team member,ensure,validations ,ensure validations are updated appropriately for the launch of FABS and DAIMS v1.1,
2,broker team member,ensure,P&P pages ,ensure P&P pages are updated appropriately for the launch of FABS and DAIMS v1.1,
5,developer,include,FREC derivations ,include FREC derivations in data loaded from historical FABS,have consistent FREC data for USASpending.gov.
10,user,view,grants ,view all grants displayed as contracts except NASA grants,
10,user,ensure,records ,"ensure records whose ActionTypes are B, C, or D and the DUNS is registered in SAM",they are accepted by DUNS validations.
10,user,ensure,records ,"ensure records whose ActionDates are before the current registration date in SAM, but after the initial registration date",they are accepted by DUNS validations.
2,broker team member,derive,FundingAgencyCode ,derive FundingAgencyCode,the data quality and completeness improves.
1,agency user,ensure,LegalEntityAddressLine3 matches ,ensure that the maximum length allowed for LegalEntityAddressLine3 matches with the Schema v1.1,
1,agency user,use,schema ,use the schema v1.1 headers in my FABS file,
1,agency user,map,FederalActionObligation ,map the FederalActionObligation properly to the Atom Feed,
3,Broker user,,similar functionality ,similar functionality for PPoPZIP+4 and Legal Entity ZIP validations,
6,FABS user,link,SAMPLE FILE ,"link the SAMPLE FILE on the ""What you want  to submit"" dialog to point to the correct file",have an accurate reference for my agency submissions.
1,agency user,update,updated FPDS data ,updated FPDS data daily,
10,user,access,raw agency 's published files ,access the raw agency's published files from FABS via USAspending,
5,developer,determine,agencies ,determine how agencies will generate and validate D Files from FABS and FPDS data,
10,user,generate,D Files ,generate D Files from FABS and FPDS data,
10,user,validate,generated D Files ,validate the generated D Files from FABS and FPDS data,
1,agency user,display,updated date - time ,displayed updated date-time in the header information box,know when it was updated.
1,agency user,receive,detailed file - level error ,receive detailed file-level error when I upload a file with the wrong extension,
8,tester,access,test features ,access test features in environments other than Staging,test any nonProd feature in any environment.
6,FABS user,access,accurate reflection ,accurate reflection of frontend URLs in the page I'm accessing,am not confused.
1,agency user,load,historical Financial Assistance data ,load all historical Financial Assistance data for FABS before go-live,
5,developer,include,historical data ,include both extracted historical data and FPDS feed data using the historical FPDS data loader,
